区分,給付可否,要申立書,口座名義_代理人,口座名義_対象者,在留カード（認定請求日時点で有効なもの）,委任状,家族関係確認書類：健康保険被保険者証（表面）（認定請求者が対象者を扶養していることがわかるもの、対象者の住所が記載されているもの）,家族関係確認書類：健康保険被保険者証（裏面）（認定請求者が対象者を扶養していることがわかるもの、対象者の住所が記載されているもの）,家族関係確認書類：住民票の写し（認定請求者と対象者について記載のあるもの）,家族関係確認書類：対象者にかかる医療証（対象者の住所が記載されているもの）,対象者の住民票上の住所を確認できる書類,認定請求者が対象者を健康保険上扶養していることがわかる書類,住民票の写し,戸籍の附票の写し等,住民票の除票の写し等,措置決定通知書,その他の書類
A1-1,○,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×
A1-2,○,×,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×
A1-3,○,×,○,×,×,×,×,×,×,×,×,×,×,○,×,×,×
A1-4,○,×,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×
A1-5,○,×,○,×,×,×,×,×,×,×,×,×,○,○,×,×,×
A1-6,○,×,○,×,×,×,×,×,×,×,×,×,○,×,○,×,×
A1-7,○,×,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×
A1-8,○,×,○,×,×,×,×,×,×,×,×,×,○,○,○,×,×
A2-1,○,○,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×
A2-2,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×
A2-3,○,○,○,×,×,×,×,×,×,×,×,×,×,○,×,×,×
A2-4,○,○,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×
A2-5,○,○,○,×,×,×,×,×,×,×,×,×,○,○,×,×,×
A2-6,○,○,○,×,×,×,×,×,×,×,×,×,○,×,○,×,×
A2-7,○,○,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×
A2-8,○,○,○,×,×,×,×,×,×,×,×,×,○,○,○,×,×
A3-1,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,×,○
A3-2,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,×,○
A3-3,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,×,○
A3-4,○,○,○,×,×,○,○,○,○,○,×,×,×,×,○,×,○
A3-5,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,×,○
A3-6,○,○,○,×,×,○,○,○,○,○,×,×,○,×,○,×,○
A3-7,○,○,○,×,×,○,○,○,○,○,×,×,×,○,○,×,○
A3-8,○,○,○,×,×,○,○,○,○,○,×,×,○,○,○,×,○
A4-1,○,○,○,×,×,○,○,○,○,○,×,×,×,×,×,×,○
A4-2,○,○,○,×,×,○,○,○,○,○,×,×,○,×,×,×,○
A4-3,○,○,○,×,×,○,○,○,○,○,×,×,×,○,×,×,○
A4-4,○,○,○,×,×,○,○,○,○,○,×,×,×,×,○,×,○
A4-5,○,○,○,×,×,○,○,○,○,○,×,×,○,○,×,×,○
